Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
,,,-0.07655199617,4.56000,
,,,-0.07654400170,4.56000,
,,,-0.07653599977,4.56000,
,,,-0.07652799785,4.56000,
,,,-0.07652000338,4.56000,
,,,-0.07651200145,4.64000,
,,,-0.07650399953,4.56000,
,,,-0.07649599761,4.56000,
,,,-0.07648800313,4.56000,
,,,-0.07648000121,4.56000,
,,,-0.07647199929,4.56000,
,,,-0.07646399736,4.56000,
,,,-0.07645600289,4.56000,
,,,-0.07644800097,4.56000,
,,,-0.07643999904,4.56000,
,,,-0.07643199712,4.56000,
,,,-0.07642400265,4.56000,
,,,-0.07641600072,4.56000,
,,,-0.07640799880,4.56000,
,,,-0.07639999688,4.56000,
,,,-0.07639200240,4.56000,
,,,-0.07638400048,4.56000,
,,,-0.07637599856,4.56000,
,,,-0.07636799663,4.56000,
,,,-0.07636000216,4.56000,
,,,-0.07635200024,4.56000,
,,,-0.07634399831,4.56000,
,,,-0.07633599639,4.56000,
,,,-0.07632800192,4.56000,
,,,-0.07631999999,4.56000,
,,,-0.07631199807,4.56000,
,,,-0.07630399615,4.56000,
,,,-0.07629600167,4.64000,
,,,-0.07628799975,4.56000,
,,,-0.07627999783,4.56000,
,,,-0.07627200335,4.56000,
,,,-0.07626400143,4.56000,
,,,-0.07625599951,4.56000,
,,,-0.07624799758,4.56000,
,,,-0.07624000311,4.56000,
,,,-0.07623200119,4.56000,
,,,-0.07622399926,4.56000,
,,,-0.07621599734,4.56000,
,,,-0.07620800287,4.56000,
,,,-0.07620000094,4.56000,
,,,-0.07619199902,4.56000,
,,,-0.07618399709,4.56000,
,,,-0.07617600262,4.64000,
,,,-0.07616800070,4.56000,
,,,-0.07615999877,4.56000,
,,,-0.07615199685,4.56000,
,,,-0.07614400238,4.56000,
,,,-0.07613600045,4.56000,
,,,-0.07612799853,4.56000,
,,,-0.07611999661,4.56000,
,,,-0.07611200213,4.56000,
,,,-0.07610400021,4.56000,
