Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
Vertical Units,CH1:V,,-0.08191999793,-4.80000,
Vertical Scale,CH1:5.00,,-0.08191200346,-4.80000,
Vertical Offset,CH1:0.00,,-0.08190400153,-4.60000,
Horizontal Units,s,,-0.08189599961,-4.80000,
Horizontal Scale,0.0049999999,,-0.08188799769,-4.80000,
Model Number,SDS1102CML+,,-0.08188000321,-4.60000,
Serial Number,SDS1MDBQ1R6022,,-0.08187200129,-4.60000,
Software Version,6.01.01.19,,-0.08186399937,-4.60000,
,,,-0.07803200185,5.40000,
,,,-0.07802399993,5.60000,
,,,-0.07801599801,5.60000,
,,,-0.07800799608,5.40000,
,,,-0.07800000161,5.40000,
,,,-0.07799199969,5.60000,
,,,-0.07798399776,5.60000,
,,,-0.07797600329,5.40000,
,,,-0.07796800137,5.60000,
,,,-0.07795999944,5.60000,
,,,-0.07795199752,5.60000,
,,,-0.07794400305,5.40000,
,,,-0.07793600112,5.60000,
,,,-0.07792799920,5.40000,
,,,-0.07791999727,5.80000,
,,,-0.07791200280,5.80000,
,,,-0.07790400088,5.80000,
,,,-0.07789599895,5.80000,
,,,-0.07788799703,5.80000,
,,,-0.07788000256,5.80000,
,,,-0.07787200063,5.80000,
,,,-0.07786399871,5.80000,
,,,-0.07785599679,5.80000,
,,,-0.07784800231,6.00000,
,,,-0.07784000039,5.80000,
,,,-0.07783199847,5.80000,
,,,-0.07782399654,6.00000,
,,,-0.07781600207,5.80000,
,,,-0.07780800015,6.00000,
,,,-0.07779999822,6.00000,
,,,-0.07779199630,6.00000,
,,,-0.07778400183,6.00000,
,,,-0.07777599990,6.20000,
,,,-0.07776799798,6.20000,
,,,-0.07776000351,6.20000,
,,,-0.07775200158,6.00000,
,,,-0.07774399966,6.20000,
,,,-0.07773599774,6.00000,
,,,-0.07772800326,6.20000,
,,,-0.07772000134,6.20000,
,,,-0.07771199942,6.00000,
,,,-0.07770399749,6.00000,
,,,-0.07769600302,6.00000,
,,,-0.07768800110,6.20000,
,,,-0.07767999917,6.00000,
,,,-0.07767199725,6.20000,
,,,-0.07766400278,6.20000,
,,,-0.07765600085,6.20000,
,,,-0.07764799893,6.40000,
,,,-0.07763999701,6.20000,
,,,-0.07763200253,6.20000,
,,,-0.07762400061,6.40000,
,,,-0.07761599869,6.20000,
,,,-0.07760799676,6.20000,
,,,-0.07760000229,6.20000,
,,,-0.07759200037,6.60000,
,,,-0.07758399844,6.60000,
,,,-0.07757599652,6.60000,
,,,-0.07756800205,6.60000,
,,,-0.07756000012,6.60000,
,,,-0.07755199820,6.40000,
,,,-0.07754399627,6.40000,
,,,-0.07753600180,6.60000,
,,,-0.07752799988,6.60000,
,,,-0.07751999795,6.60000,
,,,-0.07751200348,6.60000,
,,,-0.07750400156,6.60000,
,,,-0.07749599963,6.60000,
,,,-0.07748799771,6.60000,
,,,-0.07748000324,6.80000,
,,,-0.07747200131,6.80000,
,,,-0.07746399939,6.60000,
,,,-0.07745599747,6.80000,
,,,-0.07744800299,6.60000,
,,,-0.07744000107,6.80000,
,,,-0.07743199915,6.80000,
,,,-0.07742399722,6.60000,
,,,-0.07741600275,6.80000,
