vds	Ix(MOSFET:D)
Step Information: Vgs=0  (Step: 1/11)
4.649999999999945e+00	3.127996e-10
4.659999999999945e+00	3.128512e-10
4.669999999999945e+00	3.129029e-10
4.679999999999945e+00	3.129546e-10
4.689999999999944e+00	3.130062e-10
4.699999999999944e+00	3.130579e-10
4.709999999999944e+00	3.131096e-10
4.719999999999944e+00	3.131612e-10
4.729999999999944e+00	3.132129e-10
4.739999999999943e+00	3.132646e-10
4.749999999999943e+00	3.133162e-10
4.759999999999943e+00	3.133679e-10
4.769999999999943e+00	3.134196e-10
4.779999999999943e+00	3.134712e-10
4.789999999999942e+00	3.135229e-10
4.799999999999942e+00	3.135746e-10
4.809999999999942e+00	3.136262e-10
4.819999999999942e+00	3.136779e-10
4.829999999999941e+00	3.137296e-10
4.839999999999941e+00	3.137812e-10
4.849999999999941e+00	3.138329e-10
4.859999999999941e+00	3.138846e-10
4.869999999999941e+00	3.139362e-10
4.879999999999940e+00	3.139879e-10
4.889999999999940e+00	3.140396e-10
4.899999999999940e+00	3.140912e-10
4.909999999999940e+00	3.141429e-10
4.919999999999940e+00	3.141946e-10
4.929999999999939e+00	3.142462e-10
4.939999999999939e+00	3.142979e-10
